latitude,longitude
-22.8945,-43.2622
-22.8944,-43.2627
-22.8942,-43.2632
-22.8941,-43.2634
-22.8941,-43.2634
-22.8941,-43.2635
-22.8941,-43.2635
-22.8948,-43.2638
-22.8948,-43.2638
-22.8952,-43.2626
-22.8952,-43.2626
-22.8951,-43.2625
-22.8951,-43.2625
-22.895,-43.2623
-22.8948,-43.262
-22.8948,-43.262
-22.8947,-43.2619
-22.8947,-43.2619
-22.8945,-43.2615
-22.8945,-43.2615
-22.8944,-43.2611
-22.8944,-43.2611
-22.8942,-43.2608
-22.894,-43.2606
-22.894,-43.2606
-22.8938,-43.2604
-22.8936,-43.2602
-22.8935,-43.26
-22.8935,-43.2599
-22.8935,-43.2599
-22.8935,-43.2598
-22.8935,-43.2596
-22.8935,-43.2595
-22.8935,-43.2595
-22.8937,-43.2588
-22.8937,-43.2586
-22.8938,-43.2584
-22.8938,-43.2584
-22.8939,-43.2582
-22.894,-43.2579
-22.8941,-43.2576
-22.8941,-43.2576
-22.8942,-43.2576
-22.8942,-43.2576
-22.8942,-43.2574
-22.8942,-43.2574
-22.8944,-43.2572
-22.8945,-43.2569
-22.8945,-43.2569
-22.8945,-43.2569
-22.8961,-43.2568
-22.8962,-43.2568
-22.8962,-43.2567
-22.8962,-43.2567
-22.8963,-43.2568
-22.8965,-43.2568
-22.8965,-43.2568
-22.8969,-43.2568
-22.8973,-43.2568
-22.8985,-43.2566
-22.8987,-43.2566
-22.8987,-43.2566
-22.8988,-43.2566
-22.899,-43.2566
-22.8994,-43.2565
-22.8994,-43.2565
-22.8995,-43.2583
-22.8995,-43.2583
-22.9003,-43.2583
-22.9003,-43.2583
-22.9014,-43.2582
-22.9014,-43.2582
-22.9013,-43.2564
-22.9013,-43.2564
-22.9013,-43.2562
-22.9013,-43.2562
-22.9012,-43.255
-22.9012,-43.255
-22.9012,-43.2549
-22.9011,-43.2536
-22.9011,-43.2536
-22.901,-43.2528
-22.901,-43.2528
-22.901,-43.2521
-22.901,-43.2521
-22.9009,-43.2516
-22.9009,-43.2516
-22.9008,-43.2506
-22.9008,-43.2501
-22.9008,-43.2501
-22.9008,-43.2497
-22.9009,-43.2488
-22.9009,-43.2483
-22.9009,-43.2483
-22.9006,-43.2471
-22.9006,-43.2471
-22.9005,-43.2464
-22.9004,-43.2458
-22.9003,-43.2457
-22.9003,-43.2457
-22.9,-43.2444
-22.9,-43.2444
-22.8999,-43.2443
-22.8999,-43.2443
-22.8994,-43.2442
-22.8994,-43.2442
-22.8988,-43.2437
-22.8988,-43.2437
-22.897,-43.2425
-22.8968,-43.2422
-22.896,-43.2414
-22.896,-43.2414
-22.8959,-43.2412
-22.8959,-43.2412
-22.8959,-43.2411
-22.8959,-43.241
-22.8959,-43.2409
-22.8959,-43.2408
-22.8959,-43.2408
-22.8962,-43.2402
-22.8962,-43.2402
-22.8974,-43.2404
-22.8974,-43.2404
-22.898,-43.2404
-22.8989,-43.2406
-22.8989,-43.2406
-22.8991,-43.2405
-22.8991,-43.2405
-22.8991,-43.2405
-22.8991,-43.2404
-22.8991,-43.2402
-22.8992,-43.2402
-22.8992,-43.2402
-22.8991,-43.2399
-22.8989,-43.2396
-22.8989,-43.2396
-22.8988,-43.2392
-22.8988,-43.2392
-22.8987,-43.2389
-22.8987,-43.2388
-22.8987,-43.2387
-22.8987,-43.2385
-22.8987,-43.2385
-22.8987,-43.2381
-22.8987,-43.2381
-22.8987,-43.2378
-22.8987,-43.2375
-22.8989,-43.2365
-22.8989,-43.2365
-22.899,-43.236
-22.899,-43.236
-22.8991,-43.2359
-22.8991,-43.2358
-22.8991,-43.2358
-22.8992,-43.2357
-22.8992,-43.2357
-22.8992,-43.2357
-22.8992,-43.2357
-22.8994,-43.2355
-22.8994,-43.2355
-22.8999,-43.235
-22.8999,-43.235
-22.8999,-43.235
-22.9,-43.2349
-22.9,-43.2349
-22.9,-43.2346
-22.9001,-43.2343
-22.9001,-43.2343
-22.9004,-43.2333
-22.9005,-43.2327
-22.9006,-43.232
-22.9006,-43.2319
-22.9005,-43.2317
-22.9004,-43.2311
-22.9004,-43.2311
-22.9003,-43.231
-22.9003,-43.231
-22.9,-43.2299
-22.9,-43.2299
-22.8999,-43.2292
-22.8996,-43.2279
-22.8995,-43.2278
-22.8996,-43.2276
-22.8996,-43.2276
-22.8996,-43.2275
-22.8996,-43.2274
-22.8996,-43.2272
-22.8996,-43.2272
-22.8997,-43.2271
-22.9001,-43.2256
-22.9001,-43.2256
-22.9002,-43.2254
-22.9002,-43.2254
-22.9004,-43.2251
-22.9004,-43.2251
-22.9004,-43.2248
-22.9004,-43.2248
-22.9005,-43.2247
-22.9005,-43.2247
-22.9005,-43.2246
-22.9011,-43.2243
-22.9012,-43.2243
-22.9012,-43.2243
-22.9007,-43.2238
-22.9006,-43.2236
-22.9006,-43.2236
-22.9001,-43.2232
-22.9001,-43.2232
-22.8995,-43.2226
-22.8995,-43.2226
-22.8994,-43.2225
-22.8994,-43.2224
-22.8993,-43.2223
-22.899,-43.2207
-22.8989,-43.2205
-22.8988,-43.2201
-22.8988,-43.2201
-22.8987,-43.22
-22.8984,-43.2192
-22.8982,-43.219
-22.8982,-43.219
-22.8983,-43.2189
-22.8984,-43.2188
-22.8985,-43.2187
-22.8985,-43.2187
-22.8987,-43.2186
-22.8988,-43.2185
-22.8994,-43.2181
-22.8994,-43.2181
-22.8995,-43.218
-22.8995,-43.218
-22.9004,-43.2175
-22.9004,-43.2175
-22.9012,-43.217
-22.9012,-43.217
-22.9012,-43.217
-22.9014,-43.2171
-22.9014,-43.2171
-22.9025,-43.218
-22.9029,-43.2184
-22.903,-43.2185
-22.903,-43.2185
-22.903,-43.2185
-22.903,-43.2185
-22.9031,-43.2185
-22.9036,-43.2186
-22.9037,-43.2187
-22.9039,-43.2186
-22.9039,-43.2186
-22.9045,-43.2184
-22.9045,-43.2184
-22.9045,-43.2185
-22.9045,-43.2185
-22.9046,-43.2186
-22.9046,-43.2186
-22.9046,-43.2186
-22.9047,-43.2186
-22.9048,-43.2186
-22.9048,-43.2186
-22.9049,-43.2186
-22.9049,-43.2185
-22.905,-43.2185
-22.905,-43.2184
-22.905,-43.2183
-22.905,-43.2182
-22.905,-43.2182
-22.905,-43.2182
-22.9049,-43.2181
-22.9049,-43.2181
-22.9048,-43.218
-22.9047,-43.218
-22.9047,-43.218
-22.9047,-43.218
-22.9042,-43.2168
-22.9042,-43.2168
-22.9037,-43.2153
-22.9036,-43.2153
-22.9036,-43.2153
-22.9036,-43.2153
-22.9034,-43.2147
-22.9034,-43.2147
-22.9031,-43.214
-22.9031,-43.214
-22.903,-43.2136
-22.903,-43.2136
-22.903,-43.2136
-22.9026,-43.2127
-22.9026,-43.2127
-22.9022,-43.2116
-22.9021,-43.2113
-22.9021,-43.2113
-22.902,-43.2111
-22.9018,-43.2106
-22.9018,-43.2106
-22.9018,-43.2105
-22.9018,-43.2105
-22.9018,-43.2105
-22.9022,-43.2104
-22.9025,-43.2104
-22.9033,-43.2104
-22.9038,-43.2104
-22.9038,-43.2104
-22.9039,-43.2103
-22.9039,-43.2103
-22.9048,-43.2103
-22.9048,-43.2103
-22.9054,-43.2102
